osm_node_id,time_window,time_interval,travel_time_delta,capacity,v_over_c,cycle_no,cycle_length,green_time,red_time,stage,movement_str,geometry,,,
1966,00:00:00_00:00:59,None,None,70,1.19,0,120,59,61,1,EBL,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9262415646975 33.42210098561003)",,,
1966,00:00:00_00:00:59,None,None,1403,0.22,0,120,59,61,1,EBT,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9261566859385 33.42203070294214)",,,
1966,00:00:00_00:00:59,None,None,11220,0.004723708,0,120,59,61,1,EBR,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9264072749496 33.42195576677923)",,,
1966,00:00:00_00:00:59,None,None,78,2.13,0,120,59,61,1,WBL,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9264072749496 33.42195576677923)",,,
1966,00:00:00_00:00:59,None,None,1403,0.56,0,120,59,61,1,WBT,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9264933066724 33.42202626192582)",,,
1966,00:00:00_00:00:59,None,None,17531,0.006730934,0,120,59,61,1,WBR,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9262415646975 33.42210098561003)",,,
1966,00:00:59_00:01:14,None,None,561,0.52,0,120,15,105,2,NBL,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9264933066724 33.42202626192582)",,,
1966,00:00:59_00:01:11,None,None,434,0.25,0,120,12,108,2,SBL,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9261566859385 33.42203070294214)",,,
1966,00:01:14_00:02:00,None,None,2142,0.31,0,120,46,74,2,SBT,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9264072749496 33.42195576677923)",,,
1966,00:01:14_00:02:00,None,None,13388,0.006647744,0,120,46,74,2,SBR,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9264933066724 33.42202626192582)",,,
