signal_code,osm_node_id,x_coord,y_coord
#|Ma_EW|L_A|T_A|R_A|,41520521,-111.9442661,33.4218936
#|Ma_EW|L_A|T_A|R_A|,41529691,-111.9304264,33.4231268
#|Ma_EW|L_A|T_A|R_A|,41563475,-111.9423899,33.4219281
#|Ma_EW|L_A|T_A|R_A|,41563500,-111.943347,33.4254811
#|Ma_EW|L_A|T_A|R_A|,41563515,-111.9427719,33.4275569
T|Ma_NS|L_WS|T_NS|R_WN|,41573974,-111.9262973,33.4128826
#|Ma_EW|L_A|T_A|R_A|,41573980,-111.9263035,33.4168382
T|Ma_NS|L_EN|T_NS|R_ES|,41573982,-111.9262965,33.4191375
#|Ma_NS|L_A|T_A|R_A|,41638531,-111.9091036,33.4174837
T|Ma_EW|L_WS|T_EWS|R_ES|,41662609,-111.9398741,33.4074072
#|Ma_EW|L_A|T_A|R_A|,41714341,-111.9289415,33.4220194
#|Ma_EW|L_A|T_A|R_A|,41714356,-111.9177025,33.4220187
T|Ma_EW|L_WN|T_EW|R_EN|,41746582,-111.9349278,33.4254396
#|Ma_EW|L_A|T_A|R_A|,41883112,-111.9349044,33.4074493
#|Ma_EW|L_A|T_A|R_A|,316007232,-111.9349809,33.4243346
#|Ma_NS|L_A|T_A|R_A|,318033603,-111.9090927,33.421982
T|Ma_NS|L_WN|T_WNS|R_WS|,330683937,-111.917698,33.4148781
T|Ma_NS|L_WN|T_WNS|R_WS|,330683942,-111.9306499,33.4147876
T|Ma_EW|L_Nu|T_W|R_WS|,330683944,-111.932805,33.4147645
T|Ma_NS|L_ES|T_ENS|R_EN|,330683967,-111.9306654,33.4146657
T|Ma_NS|L_ES|T_ENS|R_ENS|,330683970,-111.9204485,33.4147071
T|Ma_NS|L_Nu|T_NS|R_N|,330691322,-111.9262989,33.420098
T|Ma_NS|L_Nu|T_NS|R_Nu|,2671959143,-111.9263008,33.4202837
T|Ma_NS|L_S|T_WS|R_WS|,2714318042,-111.9374938,33.4305413
T|Ma_NS|L_ES|T_ENS|R_EN|,2819230452,-111.9091141,33.4146219
#|Ma_NS|L_A|T_WNS|R_A|,3756578325,-111.9091135,33.4148353
T|Ma_EW|L_Nu|T_W|R_WS|,3756594468,-111.9136482,33.414836
T|Ma_EW|L_WN|T_W|R_WS|,4084510569,-111.9226118,33.4075789
T|Ma_EW|L_EWS|T_ENS|R_EWN|,4084525371,-111.9226148,33.4074455
#|Ma_NS|L_A|T_A|R_A|,4084525376,-111.926277,33.4075074
T|Ma_EW|L_Nu|T_W|R_WS|,4716134185,-111.9291473,33.4148012
T|Ma_EW|L_N|T_E|R_EN|,4716134186,-111.9291456,33.4146674
T|Ma_NS|L_EN|T_NS|R_ES|,5280009872,-111.9288549,33.4184369
#|Ma_EW|L_A|T_A|R_A|,5333539972,-111.9366276,33.4162059
#|Ma_EW|L_A|T_A|R_A|,41529701;2704829968,-111.9263026,33.4245036
#|Ma_EW|L_A|T_A|R_A|,41529740;2625359015,-111.9400121,33.4243449
#|Ma_EW|L_A|T_A|R_A|,41573995;2714317928,-111.9262829,33.4288401
#|Ma_EW|L_A|T_A|R_A|,41605233;2625359028;2714318022;2714318023,-111.9400276,33.4296239
T|Ma_EW|L_ES|T_EW|R_WS|,41624261;330683946,-111.9366093,33.41467
#|Ma_EW|L_A|T_A|R_A|,41630200;2625359017,-111.9400208,33.4264643
#|Ma_NS|L_A|T_A|R_A|,41638511;2714317958,-111.9090868,33.4292521
#|Ma_EW|L_A|T_A|R_A|,41662581;2625359021,-111.9400156,33.427385
#|Ma_EW|L_A|T_A|R_A|,41662584;2625359016,-111.9400202,33.4254921
#|Ma_EW|L_A|T_A|R_A|,41662587;2625359013,-111.9400134,33.4231921
#|Ma_EW|L_A|T_A|R_A|,41662590;2941419916;2941419917,-111.9399568,33.4219351
T|Ma_EW|L_EWS|T_A|R_A|,41714336;2860653270,-111.9366617,33.4219501
#|Ma_EW|L_A|T_A|R_A|,41714339;8269005072,-111.9349692,33.4219591
#|Ma_EW|L_A|T_A|R_A|,41736777;2714317917,-111.9293054,33.4287176
#|Ma_EW|L_A|T_A|R_A|,41883123;4084510563,-111.9176973,33.4075105
T|Ma_EW|L_WS|T_WNS|R_WN|,316870186;2625358994,-111.9395404,33.4160198
T|Ma_NS|L_WNS|T_WNS|R_WNS|,330683931;330683932,-111.9124079,33.4148625
#|Ma_NS|L_A|T_A|R_A|,330683940;330683969,-111.9262901,33.4147683
T|Ma_NS|L_WNS|T_EWS|R_ENS|,330683945;330683964,-111.9349572,33.4146838
T|Ma_NS|L_ES|T_ENS|R_EN|,330683976;330683977,-111.9124062,33.4146769
#|Ma_EW|L_A|T_A|R_A|,330689192;330689685,-111.9224368,33.4167563
#|Ma_EW|L_A|T_A|R_A|,1698683826;2625359006,-111.939941,33.4190564
#|Ma_EW|L_A|T_A|R_A|,1698683852;2625359008,-111.9399653,33.420492
#|Ma_EW|L_A|T_A|R_A|,2065989239;2065989244;2065989250;2065989260,-111.9399078,33.4147467
#|Ma_EW|L_A|T_A|R_A|,2065989266;2916726375,-111.9381457,33.4219425
T|Ma_NS|L_WS|T_NS|R_WN|,2096552754;3026629623,-111.9092741,33.4320347
#|Ma_EW|L_A|T_A|R_A|,2704829948;5013837645,-111.9263253,33.4220282
T|Ma_EW|L_ES|T_EW|R_WS|,2714317962;5013817163,-111.9179242,33.4292664
#|Ma_NS|L_A|T_A|R_A|,4084510562;4084510567,-111.9091054,33.4075007
#|Ma_EW|L_A|T_A|R_A|,5176314770;8269005064,-111.9307644,33.4219973
